cluster_id,proposed_label,segment_count,document_count,percent_of_documents,representative_phrases
135,Stimmung / Depression,47,47,7.9,"Stimmung sei schwankend, teilweise gedrückt."
204,Schmerzen – Charakter,43,42,7.1,"Es handelt sich um intermittierende Schmerzen von ziehendem Schmerzcharakter.
---
Es handelt sich und intermittierenden Schmerzen von ziehendem Schmerzcharakter.
---
Es handelt sich um intermittierende Schmerzen von ziehender Schmerzqualität.
---
Es handelt sich um intermittierende Schmerzen von pochenden und stechenden Schmerzqualität.
---
Es handelt sich um intermittierende Schmerzen von drückender Schmerzqualität.
---
Es handelt sich um anhaltende Schmerzen von stechendem Schmerzcharakter.
---
Es handle sich um intermittierende Schmerzen von stechender Schmerzqualität.
---
Es handelt sich um intermittierende Schmerzen von ziehendem sowie stechendem Schmerzcharakter.
---
Es handle sich um intermittierende Schmerzen von ziehender Schmerzqualität.
---
Es handle es sich um intermittierende Schmerzen von drückender Schmerzqualität.
---
Es handelt sich um belastungsabhängige Schmerzen von ziehendem Schmerzcharakter.
---
Es handelt sich um anhaltende Schmerzen von stechendem sowie ziehendem Schmerzcharakter.
---
Dabei handelt es sich um intermittierende Schmerzen von dumpfem Schmerzcharakter.
---
Es handelt sich eher um anhaltende Schmerzen von stechender Schmerzqualität.
---
Es handelt sich eher um anhaltende Schmerzen von ziehender Schmerzqualität."
174,Schwindel,43,42,7.1,"Beschwerdensymptomatik äußert sich vor allem durch krampfartigen Bauchschmerzen, Durchfallneigung, vermehrte Blähungen, Völlegefühl.
---
Es zeigten sich meistens Verstopfungsneigung, vermehrte Blähungen, Völlegefühl, diffuse Bauchschmerzen, teilweise auch Übelkeit.
---
Beschwerdensymptomatik äußert sich vor allem durch Bauchschmerzen, Durchfallneigung, vermehrte Blähungen, Völlegefühl und Stuhldrang.
---
Beschwerdensymptomatik äußert sich vor allem durch krampfartigen Bauchschmerzen, Verstopfungsneigung, vermehrte Blähungen, Völlegefühl, Aufstoßen.
---
Es zeigten sich meistens Oberbauchschmerzen, vermehrte Blähungen, Völlegefühl, mal Verstopfung, mal Durchfall, Übelkeit.
---
Dieses äußere sich durch rezidivierende Blähungen, Völlegefühl sowie krampfartige Bauchschmerzen.
---
Es zeigten sich meistens Oberbauchschmerzen sowie -und Unterbauchschmerzen links, vermehrte Blähungen, Völlegefühl, mal Verstopfung, mal Durchfall, Aufstoßen sowie Sodbrennen.
---
Es zeigten sich meistens Oberbauchschmerzen, vermehrte Blähungen, Völlegefühl, Sodbrennen, Durchfall sowie Aufstoßen.
---
Es zeigten sich meistens Bauchschmerzen, vermehrte Blähungen, Völlegefühl, Übelkeit, Stuhldrang, Durchfallneigung.
---
Es zeigten sich meistens vermehrte Blähungen, Völlegefühl, Sodbrennen, Aufstoßen, diffuse Bauchschmerzen, teilweise auch Übelkeit.
---
Es zeigten sich meistens Oberbauchschmerzen, vermehrte Blähungen, Völlegefühl, Übelkeit, mal Verstopfung, mal Stuhldrang, Aufstoßen, „Verkrampfungen der Speiseröhre“.
---
Es zeigten sich meistens krampfartigen Mittelbauchschmerzen, viel Luft im Bauch, vermehrte Blähungen, mal Verstopfung mal Durchfall, Aufstoßen.
---
Es zeigten sich meistens krampfartigen Unterbauchschmerzen, viel Luft im Bauch, vermehrte Blähungen, Verstopfungsneigung, Aufstoßen.
---
Dies äußere sich in Übelkeit, Schwindel, Erbrechen und Bauchkrämpfen.
---
Es zeigten sich meistens postprandiale rechtsseitige Bauchschmerzen, vermehrte Blähungen, Verstopfungsneigung sowie Übelkeit und Aufstoßen.
---
Zudem berichtet sie von Bauchschmerzen, Völlegefühlen und vermehrten Blähungen.
---
Die Beschwerden äußerten sich in Völlegefühl, vermehrten Blähungen sowie Darmgeräuschen, intermittierenden Bauchkrämpfen, Stuhlfrequenz 3-5x täglich, von „breiiger, klebriger Konsistenz“, gelegentlichen Ausstoßen und Sodbrennen.
---
Die Symptomatik äußert sich in Form eines ausgeprägten Blähbauchs, rezidivierenden Bauchschmerzen, vermehrter Flatulenz sowie immer wieder auftretenden Durchfällen.
---
Beschwerdensymptomatik äußert sich vor allem durch Schmerzen im Unterbauch und im Steißbein, schmerzhafte Miktion und Defäkation mit Neigung zu Durchfällen sowie kolikartigen Bauchschmerzen.
---
Die Beschwerden äußerten sich in (Die Symptomatik bestehe aus) anhaltend: Aufstoßen, gespannter Bauch, Durchfall, Stuhldrang, vermehrten Blähungen, Gefühl ungenügender Darmentleerung häufig: Bauchschmerzen, Völlegefühl, Bleistiftstuhl selten: leichte Übelkeit, Bauchkoliken, Sodbrennen, Darmkrämpfe."
117,Symptomverlauf / Verschlechterung,42,40,6.8,"Sie gibt an, dass sich die Symptomatik in den letzten 2-3 Jahren deutlich zugespitzt habe.
---
Sie gibt an, dass die Symptomatik in den letzten Jahren deutlich zugespitzt habe.
---
Sie gibt an, dass sich die Symptomatik in den letzten Jahren deutlich zugespitzt habe.
---
Diese Symptomatik bestehe bereits seit längerer Zeit latent, habe sich jedoch in den letzten 1–3 Jahren deutlich verschlechtert.
---
Sie gibt weiterhin an, dass es in den letzten Jahren zu einer Verschlechterung der Symptomatik gekommen sei.
---
Sie gibt an, dass sich die Symptomatik in den letzten zwei Jahren deutlich zugespitzt habe.
---
Die Beschwerden bestehen bereits seit mehreren Jahren, jedoch habe sich die Symptomatik im letzten Jahr deutlich verschlechtert.
---
Er gibt an, dass sich die Symptomatik in den letzten zwei Jahren deutlich zugespitzt habe.
---
Sie gibt weiterhin an, dass sich die Symptomatik seit 2-3 Jahren deutlich zugespitzt habe.
---
Eine deutliche Verschlechterung der Symptomatik bestehe seit etwa einem Jahr.
---
In den letzten Jahren sei eine kontinuierliche Verschlechterung der Symptomatik zu beobachten.
---
Er gibt weiterhin an, dass sich die Symptomatik seit einem Jahre deutlich verschlechtert habe.
---
Sie gibt an, dass sich die Symptomatik in den letzten fünf Jahren deutlich zugespitzt habe.
---
Leider kam es in den letzten ein bis zwei Jahren zu einer signifikanten Verschlechterung der Symptomatik.
---
Die Symptomatik habe sich seit 3-4 Jahren deutlich verschlechtert.
---
Symptomatik habe sich im letzten Jahr deutlich zugespitzt.
---
Die Symptomatik habe sich seit ca. 3-4 Jahren deutlich verschlechtert.
---
Zudem berichtet er, dass sich die Symptomatik seit einem Jahr auf weitere Körperteile ausbreiten ( z.B.
---
Er gibt an, dass sich die Symptomatik in den letzten fünf Jahren deutlich zugespitzt habe."
104,Schmerzen – Charakter,40,38,6.4,"Sie werden als stechenden und ziehenden empfunden.
---
Sie werden als pochenden empfunden.
---
Sie werden als stechenden empfunden.
---
Sie werden als ziehenden empfunden.
---
Sie werden als ziehende sowie stechende empfunden.
---
Sie werden als ziehenden sowie pochenden empfunden.
---
Sie werden als stechenden und dumpf empfunden.
---
Diese werden als pochenden empfunden.
---
Sie werden als reißende, krampfartige sowie ziehenden empfunden."
124,Stimmung / Depression,35,35,5.9,"Ihre Stimmung sei schwankend, häufig gedrückt.
---
Ihre Stimmung sei sehr schwankend, teilweise auch gedrückt.
---
Ihre Stimmung sei sehr schwankend, teilweise gedrückt.
---
Ihre Stimmung sei schwankend, teils gedrückt.
---
Ihre Stimmung sei schwankend und häufig gedrückt.
---
Ihre Stimmung sei schwankend, teilweise gedrückt.
---
Ihre Stimmung sei schwankend und teilweise gedrückt.
---
Ihre Stimmung sei Schwankend, teilweise auch gedrückt.
---
Ihre Stimmung sei sehr schwankend, teilweise bedrückt.
---
Ihre Stimmung sei sehr schwankend, häufig auch gedrückt."
110,Sonstige / unbekannt,35,35,5.9,"Charakter: hohes Pfeifen.
---
Charakter: hohen Pfeifen.
---
Charakter: hohe Pfeifen.
---
Charakter: hohes Pfeifen und Rauschen.
---
Charakter: sowohl Rauschen als auch hohes Pfeifen.
---
Charakter: hoher Pfeifton."
120,Sonstige / unbekannt,35,35,5.9,"Schmerzlindernde sowie schmerzverstärkende Faktoren sind der Patientin nicht bekannt, außer einer leichten Schmerzlinderung durch Wärmeapplikationen.
---
Schmerzlindernde sowie schmerzverstärkende Faktoren sind der Patientin nicht bekannt, außer einer leichten Schmerzlinderung durch Wärmeapplikationen sowie manuelle Therapie.
---
Schmerzlindernde sowie schmerzverstärkende Faktoren sind der Patientin nicht bekannt, außer einer leichten Schmerzlinderung durch Wärmeapplikationen und Dehnübungen.
---
Schmerzverstärkenden oder Schmerzlindernde Faktoren sind dem Patienten nicht bekannt, außer einer leichten Schmerzlinderung durch Wärmeapplikationen.
---
Schmerzlindernde sowie schmerzverstärkende Faktoren sind der Patientin nicht bekannt, außer einer leichten Schmerzlinderung durch Wärmeapplikationen und Krankengymnastik.
---
Schmerzlindernde Faktoren sind der Patientin nicht bekannt, außer einer leichten Schmerzlinderung durch Wärme und manuelle Therapie."
81,Erschöpfung / Müdigkeit,38,33,5.6,"Bei Aufnahme berichtet die Patientin, dass im Vordergrund der aktuellen Symptomatik eine ausgeprägte und anhaltende Müdigkeit steht, die zwar bereits vor der COVID-19-Erkrankung bestanden habe, sich jedoch im zeitlichen Zusammenhang mit der dritten COVID-19-Impfung im Februar 2022 sowie der durchgemachten Infektion im März 2022 deutlich verschlechtert habe.
---
Die Patientin berichtet hier, dass sich ihre Müdigkeitssymptomatik seit der Covid-19 Erkrankung im April 2022 deutlich verschlechtert haben.
---
Sie gibt weiterhin an, dass sich die Symptomatik nach einer COVID-19 Erkrankungen im Juli 2022 deutlich verschlechtert haben.
---
Vor dem Hintergrund einer durchgemachten COVID-19-Infektion im Jahr 2024 berichtet der Patient bei Aufnahme über eine persistierende Müdigkeitssymptomatik.
---
Bei Aufnahme berichtet die Patientin, vor dem Hintergrund einer im Mai 2022 durchgemachten COVID-19-Infektion unter einer anhaltenden Müdigkeitssymptomatik zu leiden.
---
Sie gibt an, dass sich die Symptomatik seit der ersten Covid-19 Erkrankung deutlich zugespitzt habe.
---
Bei Aufnahme berichtet die Patientin, vor dem Hintergrund einer im Februar 2022 durchgemachten COVID-19-Infektion unter einer anhaltenden Müdigkeitssymptomatik zu leiden.
---
Symptomatik hat sich nach einer Covid-19-Erkrankung im Jahr 2022 erheblich verschlechtert.
---
Symptomatik hat sich nach einer Covid-19-Erkrankung im April 2022 erheblich verschlechtert.
---
Die Patientin berichtet, dass sich ihre Beschwerden nach einer durchgemachten COVID-19-Infektion im Jahr 2022 deutlich verschlechtert haben.
---
Die Symptomatik hat sich nach zwei COVID-19-Erkrankungen im Jahr 2022 erheblich verschlechtert.
---
Sie gibt ferner an, dass sich ihre Symptome sowohl nach den ersten COVID-19 Erkrankungen im Dezember 2020 als auch nach der zweiten COVID-19 Erkrankung im November 2024 weiter verschlechtert haben.
---
Bei Aufnahme berichtet die Patientin, vor dem Hintergrund einer im Dezember 2020 durchgemachten COVID-19-Infektion unter anhaltender Müdigkeitssymptomatik zu leiden.
---
Symptomatik hat sich nach einer Covid-19-Erkrankung im November 2022 erheblich verschlechtert.
---
Symptome nach der Covid-19 Infektion im April 2023 deutlich verschlechtert haben.
---
Bei Aufnahme berichtet die Patientin, vor dem Hintergrund einer im Oktober 2021 durchgemachten COVID-19-Infektion unter anhaltender Müdigkeitssymptomatik zu leiden.
---
Bei Aufnahme berichtete die Patientin, vor dem Hintergrund zweier durchgemachter COVID-19-Infektionen in den Jahren 2023 und 2024 unter einer persistierenden Müdigkeitssymptomatik zu leiden.
---
Symptomatik hat sich nach einer Covid-19-Erkrankung im November 2023 erheblich verschlechtert."
143,Erschöpfung / Müdigkeit,33,33,5.6,"Er berichtet, dass er sich sehr erschöpft fühle und seine Belastbarkeitsgrenze sei schneller als vorher erreicht."
183,Symptomverlauf / Verschlechterung,32,32,5.4,"Schmerzverstärkend wirken längeres Sitzen sowie Gehen.
---
Schmerzverstärkung nach längerem Sitzen, Stehen und Gehen.
---
Die Schmerzintensität verstärkt sich insbesondere nach längerem Sitzen.
---
Schmerzen treten am meistens bei körperlichen Belastung und nach längerem Sitzen auf.
---
Die Schmerzen verstärken sich bei langem Sitzen oder Stehen.
---
Darüber hinaus wird der Schmerz bei langem Stehen und Sitzen verstärkt.
---
Die aktuelle Schmerzsymptomatik manifestiere sich vor allem unter körperlicher Belastung sowie nach längerem Sitzen.
---
Schmerzverstärkung deutlich belastungs-, bzw. bewegungsabhängig, weiterhin nach längerem Stehen und Sitzen.
---
Die Schmerzen verschlimmern sich deutlich, wenn man sich lange bewegt und steht oder längere Zeit sitzt.
---
Schmerzen nehmen bei längerem Sitzen meistens zu.
---
Die Schmerzen sind intensiver, wenn man lange sitzt oder steht.
---
Die Schmerzverstärkung ist deutlich von Belastung sowie langes Sitzen abhängig.
---
Als Schmerzverstärkende Faktoren werden lange Stehen und Sitzen angegeben.
---
Eine Schmerzverstärkung trete vor allem bei längerem Stehen sowie beim Gehen auf.
---
Die Schmerzen verschlechtern sich beim längeren Sitzen und beim „geraden“ Liegen.
---
Langes Sitzen verstärkt die Schmerzen erheblich."
26,Sonstige / unbekannt,32,32,5.4,"Die Patientin ist im Hause bekannt, 2022 befand sie sich zum letzten Mal in unserer stationären Behandlung."
189,LWS-Beschwerden,32,32,5.4,"Weiterhin leide die Patientin unter anhaltenden Schmerzen im LWS-Bereich mit Ausstrahlung in den Beinen linksbetont.
---
Weiterhin leide die Patientin unter intermittierenden Schmerzen im LWS-Bereich mit Ausstrahlung in den Beinen rechtsbetont.
---
Weiterhin leide die Patientin über anhaltenden Schmerzen im LWS-Bereich mit Ausstrahlung in den rechten Oberschenkel.
---
Weiterhin leide die Patientin über anhaltenden Schmerzen im LWS-Bereich mit Ausstrahlung  in den rechten Oberschenkel.
---
Weiterhin leide die Patientin unter anhaltenden Schmerzen im LWS-Bereich teilweise mit Ausstrahlung in den linken Oberschenkel.
---
Weiterhin leide die Patientin unter intermittierenden Schmerzen im LWS-Bereich mit Ausstrahlung ins Gesäßbereich rechtsbetont.
---
Weiterhin leide die Patientin unter intermittierenden Schmerzen im LWS-Bereich mit Ausstrahlung in den Beinen.
---
Weiterhin leide die Patientin unter intermittierenden Schmerzen im LWS-Bereich mit Ausstrahlung links ins Gesäßbereich und rechts in den Oberschenkel.
---
Weiterhin leide die Patientin unter intermittierenden Schmerzen im LWS-Bereich mit Ausstrahlung ins linke Bein.
---
Weiterhin leide die Patientin unter anhaltenden Schmerzen im LWS-Bereich teilweise mit Ausstrahlung in den beiden Hüften.
---
Weiterhin leide der Patient über intermittierenden dumpfen Schmerzen im LWS-Bereich mit Ausstrahlung in die Leistengegend.
---
Im Aufnahmegespräch berichtet der Patient seit über einem Jahr unter fast anhaltenden Schmerzen im LWS-Bereich, teilweise mit Ausstrahlung in das linken Gesäßbereich, zu leiden.
---
Darüber hinaus leide die Patientin seit über zwei Jahren unter Schmerzen im LWS-Bereich mit Ausstrahlung in den beiden Beinen bis zu den Zehen rechtsbetont.
---
Weiterhin leide der Patient über intermittierenden Schmerzen im LWS-Bereich ohne Ausstrahlung.
---
Die Patientin berichtet über intermittierenden dumpfen und ziehenden Schmerzen in der LWS, zum Teil mit Ausstrahlung ins linke Bein.
---
Weiterhin leide die Patientin unter intermittierenden Schmerzen im LWS-Bereich ohne Ausstrahlung."
27,Sonstige / unbekannt,31,31,5.2,"Die Patientin ist im Hause bekannt, 2023 befand sie sich zum letzten Mal in unserer stationären Behandlung."
49,Tinnitus,30,30,5.1,"Der Tinnitus sei Tag und Nacht vorhanden und von unterschiedlicher Intensität.
---
Der Tinnitus sei Tag und Nacht vorhanden, von unterschiedlicher Intensität.
---
Tinnitus sei Tag und Nacht vorhanden von unterschiedlicher Intensität.
---
Tinnitus sei von unterschiedlicher Intensität Tag und Nacht vorhanden."
137,Angst / Panik,30,30,5.1,"Sie spüre häufig innere Unruhe.
---
Teilweise verspüre sie innere Unruhe.
---
Fast immer verspüre sie eine innere Unruhe.
---
Teilweise sie spüre innere Unruhe.
---
Sie verspüre fast immer eine innere Unruhe.
---
Manchmal leide sie unter innere Unruhe."
159,Belastbarkeit,30,30,5.1,Ihre Leistungsfähigkeit sowie Antrieb seien eingeschränkt.
43,Boilerplate – Erwartungen,29,29,4.9,"Vom Aufenthalt erhoffe sich die Patientin, wieder Energie und Kraft aufbauen zu können sowie eine Beschwerdelinderung."
53,Sonstige / unbekannt,28,28,4.7,In den Beziehungen zu anderen sei er etwas zurückhaltend geworden.
106,Sonstige / unbekannt,28,28,4.7,Weiterhin berichtet sie über Konzentrations- und Merkfähigkeitsstörungen.
34,Reizdarm / GI,29,28,4.7,"Bis jetzt durchgeführte Diagnostik ergab kein wegweisender Befund.
---
Die bisher durchgeführte Diagnostik ergab keine nennenswerten Befunde.
---
Insgesamt ergab bis jetzt durgeführte Diagnostik für diese Beschwerden kein wegweisender Befund.
---
Auch hier habe die bisher durchgeführte Diagnostik bisher keinen nennenswerten Befund erbracht.
---
Bis jetzt durchgeführte Diagnostik ergab keine wegweisenden Befunde.
---
Die bis jetzt durchgeführte Diagnostik ergab keine wegweisenden Befunde.
---
In diesem Zusammenhang wurde bislang noch keine diagnostische Abklärung durchgeführt.
---
Weitgehende Diagnostik ergab keine wesentlichen Befunde.
---
Ausführliche Diagnostik ergab kein wegweisender Befund.
---
Die bis jetzt durgeführte Diagnostik ergab bis auf die Diagnose Reizdarmsyndrom keinen wegweisenden Befund.
---
eine bereits durchgeführte rheumatologische sowie orthopädische Diagnostik habe jedoch keine pathologischen Befunde ergeben.
---
Hinweise auf eine manifeste, entzündlich-rheumatische Erkrankung fanden sich nicht.
---
Bis jetzt durgeführte neurologische Diagnostik ergab für diese Beschwerden kein wegweisender Befund.
---
Eine diesbezügliche fachärztliche Abklärung sei bislang nicht erfolgt.
---
Eine weiterführende medizinische Abklärung sei bislang nicht erfolgt.
---
Sowohl eine HNO-ärztliche Abklärung als auch eine MRT des Schädels brachten keinen wegweisenden Befund zur Ursachenklärung.
---
Sie vermutet eine Problematik im Bereich der Menisken, könne jedoch keine genaue Diagnose benennen.
---
Bis jetzt wurde keine Diagnose gestellt.
---
Abgesehen von dem Befund einer kleinen Hiatushernie wurde bei wiederholten Untersuchungen kein relevanter organischer Befund erhoben, der die Symptomatik erklären könnte."
107,Sonstige / unbekannt,27,27,4.6,Weiterhin berichtet sie über Konzentrations- und Merkfähigkeitsstörungen.
46,Boilerplate – Erwartungen,26,26,4.4,Vom Aufenthalt erhoffe die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung.
170,HWS-Beschwerden,26,26,4.4,"Es besteht ausgeprägte Nacken-Schulter-Verspannung.
---
Es besteht ausgeprägte Nacken-Schulte-Verspannung.
---
Zusätzlich besteht eine ausgeprägte Nacken-Schulter-Verspannung.
---
Zudem besteht es ausgeprägte Nacken-Schulte-Verspannung.
---
Es besteht eine ausgeprägte Nacken-Schulter-Verspannung.
---
Er gibt ausgeprägte Nacken-Schulter-Verspannung an.
---
Begleitend bestehe eine ausgeprägte Nacken-Schulter-Verspannung.
---
Es besteht Nacken-Schulter-Verspannung.
---
Begleitend bestehen ausgeprägte Nacken-Schulter-Verspannungen."
38,Boilerplate – Erwartungen,26,26,4.4,Vom Aufenthalt erhoffe sich die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung
126,Schlafstörungen,26,26,4.4,"Ihr Schlaf sei vor allem durch Durchschlafstörungen beeinträchtigt.
---
Ihr Schlaf sei vor allem durch Einschlafstörungen beeinträchtigt.
---
Ihr Schlaf sei meistens von Durchschlafstörungen gestört.
---
Ihr Schlaf sei erheblich durch Durchschlafstörungen beeinträchtigt.
---
Der Schlaf ist vor allem durch ausgeprägte Durchschlafstörungen gestört.
---
Der Schlaf ist überwiegend durch Durchschlafstörungen beeinträchtigt.
---
Ihr Schlaf ist erheblich von Durchschlafstörungen gestört.
---
Schlaf sei meistens von Durchschlafstörungen gestört.
---
Der Schlaf ist insbesondere durch Durchschlafstörungen beeinträchtigt.
---
Zudem sei ihr Schlaf erheblich durch Einschlafstörungen beeinträchtigt.
---
Ihr Schlaf sei teilweise von Einschlafstörungen und häufig von Durchschlafstörungen gestört.
---
Der Schlaf ist deutlich beeinträchtigt durch Ein- und vor allem Durchschlafstörungen."
56,Sonstige / unbekannt,25,25,4.2,In den Beziehungen zu anderen sei sie zurückhaltend geworden.
