cluster_id,segment_count,document_count,percent,representative_phrases
120,35,35,5.9,"Schmerzlindernde sowie schmerzverstärkende Faktoren sind der Patientin nicht bekannt, außer einer leichten Schmerzlinderung durch Wärmeapplikationen. | Schmerzlindernde sowie schmerzverstärkende Faktoren sind der Patientin nicht bekannt, außer einer leichten Schmerzlinderung durch Wärmeapplikationen. | Schmerzlindernde sowie schmerzverstärkende Faktoren sind der Patientin nicht bekannt, außer einer leichten Schmerzlinderung durch Wärmeapplikationen. | Schmerzlindernde sowie schmerzverstärkende Faktoren sind der Patientin nicht bekannt, außer einer leichten Schmerzlinderung durch Wärmeapplikationen. | Schmerzlindernde sowie schmerzverstärkende Faktoren sind der Patientin nicht bekannt, außer einer leichten Schmerzlinderung durch Wärmeapplikationen."
81,38,33,5.6,"Bei Aufnahme berichtet die Patientin, dass im Vordergrund der aktuellen Symptomatik eine ausgeprägte und anhaltende Müdigkeit steht, die zwar bereits vor der COVID-19-Erkrankung bestanden habe, sich jedoch im zeitlichen Zusammenhang mit der dritten COVID-19-Impfung im Februar 2022 sowie der durchgemachten Infektion im März 2022 deutlich verschlechtert habe. | Die Patientin berichtet hier, dass sich ihre Müdigkeitssymptomatik seit der Covid-19 Erkrankung im April 2022 deutlich verschlechtert haben. | Sie gibt weiterhin an, dass sich die Symptomatik nach einer COVID-19 Erkrankungen im Juli 2022 deutlich verschlechtert haben. | Vor dem Hintergrund einer durchgemachten COVID-19-Infektion im Jahr 2024 berichtet der Patient bei Aufnahme über eine persistierende Müdigkeitssymptomatik. | Bei Aufnahme berichtet die Patientin, vor dem Hintergrund einer im Mai 2022 durchgemachten COVID-19-Infektion unter einer anhaltenden Müdigkeitssymptomatik zu leiden."
143,33,33,5.6,"Er berichtet, dass er sich sehr erschöpft fühle und seine Belastbarkeitsgrenze sei schneller als vorher erreicht. | Er berichtet, dass er sich sehr erschöpft fühle und seine Belastbarkeitsgrenze sei schneller als vorher erreicht. | Er berichtet, dass er sich sehr erschöpft fühle und seine Belastbarkeitsgrenze sei schneller als vorher erreicht. | Er berichtet, dass er sich sehr erschöpft fühle und seine Belastbarkeitsgrenze sei schneller als vorher erreicht. | Er berichtet, dass er sich sehr erschöpft fühle und seine Belastbarkeitsgrenze sei schneller als vorher erreicht."
183,32,32,5.4,"Schmerzverstärkend wirken längeres Sitzen sowie Gehen. | Schmerzverstärkung nach längerem Sitzen, Stehen und Gehen. | Schmerzverstärkung nach längerem Sitzen, Stehen und Gehen. | Schmerzverstärkung nach längerem Sitzen, Stehen und Gehen. | Die Schmerzintensität verstärkt sich insbesondere nach längerem Sitzen."
26,32,32,5.4,"Die Patientin ist im Hause bekannt, 2022 befand sie sich zum letzten Mal in unserer stationären Behandlung. | Die Patientin ist im Hause bekannt, 2022 befand sie sich zum letzten Mal in unserer stationären Behandlung. | Die Patientin ist im Hause bekannt, 2022 befand sie sich zum letzten Mal in unserer stationären Behandlung. | Die Patientin ist im Hause bekannt, 2022 befand sie sich zum letzten Mal in unserer stationären Behandlung. | Die Patientin ist im Hause bekannt, 2022 befand sie sich zum letzten Mal in unserer stationären Behandlung."
189,32,32,5.4,Weiterhin leide die Patientin unter anhaltenden Schmerzen im LWS-Bereich mit Ausstrahlung in den Beinen linksbetont. | Weiterhin leide die Patientin unter anhaltenden Schmerzen im LWS-Bereich mit Ausstrahlung in den Beinen linksbetont. | Weiterhin leide die Patientin unter intermittierenden Schmerzen im LWS-Bereich mit Ausstrahlung in den Beinen rechtsbetont. | Weiterhin leide die Patientin über anhaltenden Schmerzen im LWS-Bereich mit Ausstrahlung in den rechten Oberschenkel. | Weiterhin leide die Patientin über anhaltenden Schmerzen im LWS-Bereich mit Ausstrahlung in den rechten Oberschenkel.
27,31,31,5.2,"Die Patientin ist im Hause bekannt, 2023 befand sie sich zum letzten Mal in unserer stationären Behandlung. | Die Patientin ist im Hause bekannt, 2023 befand sie sich zum letzten Mal in unserer stationären Behandlung. | Die Patientin ist im Hause bekannt, 2023 befand sie sich zum letzten Mal in unserer stationären Behandlung. | Die Patientin ist im Hause bekannt, 2023 befand sie sich zum letzten Mal in unserer stationären Behandlung. | Die Patientin ist im Hause bekannt, 2023 befand sie sich zum letzten Mal in unserer stationären Behandlung."
49,30,30,5.1,Der Tinnitus sei Tag und Nacht vorhanden und von unterschiedlicher Intensität. | Der Tinnitus sei Tag und Nacht vorhanden und von unterschiedlicher Intensität. | Der Tinnitus sei Tag und Nacht vorhanden und von unterschiedlicher Intensität. | Der Tinnitus sei Tag und Nacht vorhanden und von unterschiedlicher Intensität. | Der Tinnitus sei Tag und Nacht vorhanden und von unterschiedlicher Intensität.
137,30,30,5.1,Sie spüre häufig innere Unruhe. | Sie spüre häufig innere Unruhe. | Sie spüre häufig innere Unruhe. | Sie spüre häufig innere Unruhe. | Sie spüre häufig innere Unruhe.
159,30,30,5.1,Ihre Leistungsfähigkeit sowie Antrieb seien eingeschränkt. | Ihre Leistungsfähigkeit sowie Antrieb seien eingeschränkt. | Ihre Leistungsfähigkeit sowie Antrieb seien eingeschränkt. | Ihre Leistungsfähigkeit sowie Antrieb seien eingeschränkt. | Ihre Leistungsfähigkeit sowie Antrieb seien eingeschränkt.
43,29,29,4.9,"Vom Aufenthalt erhoffe sich die Patientin, wieder Energie und Kraft aufbauen zu können sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich die Patientin, wieder Energie und Kraft aufbauen zu können sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich die Patientin, wieder Energie und Kraft aufbauen zu können sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich die Patientin, wieder Energie und Kraft aufbauen zu können sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich die Patientin, wieder Energie und Kraft aufbauen zu können sowie eine Beschwerdelinderung."
53,28,28,4.7,In den Beziehungen zu anderen sei er etwas zurückhaltend geworden. | In den Beziehungen zu anderen sei er etwas zurückhaltend geworden. | In den Beziehungen zu anderen sei er etwas zurückhaltend geworden. | In den Beziehungen zu anderen sei er etwas zurückhaltend geworden. | In den Beziehungen zu anderen sei er etwas zurückhaltend geworden.
106,28,28,4.7,Weiterhin berichtet sie über Konzentrations- und Merkfähigkeitsstörungen. | Weiterhin berichtet sie über Konzentrations- und Merkfähigkeitsstörungen. | Weiterhin berichtet sie über Konzentrations- und Merkfähigkeitsstörungen. | Weiterhin berichtet sie über Konzentrations- und Merkfähigkeitsstörungen. | Weiterhin berichtet sie über Konzentrations- und Merkfähigkeitsstörungen.
34,29,28,4.7,Bis jetzt durchgeführte Diagnostik ergab kein wegweisender Befund. | Die bisher durchgeführte Diagnostik ergab keine nennenswerten Befunde. | Insgesamt ergab bis jetzt durgeführte Diagnostik für diese Beschwerden kein wegweisender Befund. | Auch hier habe die bisher durchgeführte Diagnostik bisher keinen nennenswerten Befund erbracht. | Bis jetzt durchgeführte Diagnostik ergab keine wegweisenden Befunde.
107,27,27,4.6,Weiterhin berichtet sie über Konzentrations- und Merkfähigkeitsstörungen. | Weiterhin berichtet sie über Konzentrations- und Merkfähigkeitsstörungen. | Weiterhin berichtet sie über Konzentrations- und Merkfähigkeitsstörungen. | Weiterhin berichtet sie über Konzentrations- und Merkfähigkeitsstörungen. | Weiterhin berichtet sie über Konzentrations- und Merkfähigkeitsstörungen.
46,26,26,4.4,Vom Aufenthalt erhoffe die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung.
170,26,26,4.4,Es besteht ausgeprägte Nacken-Schulter-Verspannung. | Es besteht ausgeprägte Nacken-Schulter-Verspannung. | Es besteht ausgeprägte Nacken-Schulter-Verspannung. | Es besteht ausgeprägte Nacken-Schulter-Verspannung. | Es besteht ausgeprägte Nacken-Schulter-Verspannung.
38,26,26,4.4,Vom Aufenthalt erhoffe sich die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung | Vom Aufenthalt erhoffe sich die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung | Vom Aufenthalt erhoffe sich die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung | Vom Aufenthalt erhoffe sich die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung | Vom Aufenthalt erhoffe sich die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung
126,26,26,4.4,Ihr Schlaf sei vor allem durch Durchschlafstörungen beeinträchtigt. | Ihr Schlaf sei vor allem durch Durchschlafstörungen beeinträchtigt. | Ihr Schlaf sei vor allem durch Einschlafstörungen beeinträchtigt. | Ihr Schlaf sei meistens von Durchschlafstörungen gestört. | Ihr Schlaf sei meistens von Durchschlafstörungen gestört.
56,25,25,4.2,In den Beziehungen zu anderen sei sie zurückhaltend geworden. | In den Beziehungen zu anderen sei sie zurückhaltend geworden. | In den Beziehungen zu anderen sei sie zurückhaltend geworden. | In den Beziehungen zu anderen sei sie zurückhaltend geworden. | In den Beziehungen zu anderen sei sie zurückhaltend geworden.
57,27,25,4.2,"Bei Aufnahmegespräch berichtet der Patient, dass sie auf dem Hintergrund durchgemachten Corona-Infektion im März 2022 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden. | Bei Aufnahmegespräch berichtet die Patientin, dass sie auf dem Hintergrund durchgemachten Corona-Infektionen im März 2022 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden. | Bei Aufnahmegespräch berichtet die Patientin, dass sie auf dem Hintergrund durchgemachten Corona-Infektionen im Februar 2022 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden. | Bei Aufnahmegespräch berichtet der Patient, dass er auf dem Hintergrund durchgemachten Corona-Infektion im November 2022 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden. | Bei Aufnahmegespräch berichtet der Patient, dass er auf dem Hintergrund durchgemachten Corona-Infektion im April 2022 unter einer ausgeprägten psychophysischen Erschöpfung zu leiden."
78,25,24,4.1,Im Vordergrund der psychischen Komponente steht eine depressive Symptomatik. | Im Vordergrund der psychischen Komponente steht eine depressive Symptomatik. | Im Vordergrund der psychischen Komponente steht eine depressive Symptomatik. | Im Vordergrund der psychischen Komponente steht eine depressive Symptomatik. | Im Vordergrund der psychischen Komponente steht eine depressive Symptomatik.
127,24,24,4.1,Ihr Schlaf sei von Durchschlafstörungen gestört. | Ihr Schlaf sei von Durchschlafstörungen gestört. | Ihr Schlaf sei von Durchschlafstörungen gestört. | Ihr Schlaf sei von Durchschlafstörungen gestört. | Ihr Schlaf sei von Durchschlafstörungen gestört.
42,24,24,4.1,"Vom Aufenthalt erhoffe sich der Patient, wieder Energie und Kraft aufbauen zu können sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich der Patient, wieder Energie und Kraft aufbauen zu können sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich der Patient, wieder Energie und Kraft aufbauen zu können sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich der Patient, wieder Energie und Kraft aufbauen zu können sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich der Patient, wieder Energie und Kraft aufbauen zu können sowie eine Beschwerdelinderung."
138,23,23,3.9,Sie leide unter innere Unruhe. | Sie leide unter innere Unruhe. | Sie leide unter innere Unruhe. | Sie leide unter innere Unruhe. | Sie leide unter innere Unruhe.
102,23,23,3.9,Weiterhin berichtet er über Konzentrations- und Merkfähigkeitsstörungen. | Weiterhin berichtet er über Konzentrations- und Merkfähigkeitsstörungen. | Weiterhin berichtet er über Konzentrations- und Merkfähigkeitsstörungen. | Weiterhin berichtet er über Konzentrations- und Merkfähigkeitsstörungen. | Weiterhin berichtet er über Konzentrations- und Merkfähigkeitsstörungen.
69,24,23,3.9,"Verschlechterung durch Kälte, Feuchtigkeit, Wind und im Winter. | Verschlechterung durch Kälte, Feuchtigkeit, Wind und im Winter. | Verschlechterung durch Kälte, Feuchtigkeit, Wind und im Winter. | Verschlechterung durch Kälte, Feuchtigkeit, Wind und im Winter. | Verschlechterung durch Kälte, Feuchtigkeit, Wind und im Winter."
136,22,22,3.7,Er leidet häufig unter innere Unruhe. | Er leidet häufig unter innere Unruhe. | Er spüre häufig innere Unruhe. | Er spüre häufig innere Unruhe. | Er leide häufig unter innere Unruhe.
87,21,21,3.5,Sie fühle sich häufig energielos. | Sie fühle sich häufig energielos. | Sie fühle sich häufig energielos. | Sie fühle sich häufig energielos. | Sie fühle sich häufig energielos.
180,22,21,3.5,"Ferner berichtet die Patientin über seit vielen Jahren bestehende Kopfschmerzen, die überwiegend am Scheitel lokalisiert sind. | Kurz gefasst leide die Patientin seit vielen Jahren unter Kopfschmerzen, die in zwei Kopfschmerzarten auftreten, zu leiden. | Weiterhin leide die Patientin seit Jahren unter chronischen Kopfschmerzen, die in Form von Migräne oder Spannungskopfschmerzen auftreten. | Darüber hinaus leidet die Patientin unter starken Kopfschmerzen, Darüber hinaus leidet die Patientin seit Jahren unter Kopfschmerzen, die nach ihrer Aussage in letzter Zeit etwas milder geworden sind als früher. | Zudem berichtet sie vielen Jahren unter Kopfschmerzen zu leiden."
134,21,21,3.5,"Stimmung sei schwankend, häufig gedrückt. | Stimmung sei schwankend, häufig gedrückt. | Stimmung sei schwankend, häufig gedrückt. | Stimmung sei schwankend, häufig gedrückt. | Stimmung sei schwankend, häufig gedrückt."
67,24,21,3.5,"Die Schmerzintensität beträgt nach der VAS (0 – 10 Punkte) 7-8 Punkte. | Die Schmerzintensität beträgt nach der VAS (0 – 10 Punkte) 7,5 Punkte. | Die Schmerzintensität beträgt nach der VAS (0 – 10 Punkte) 7 Punkte. | Die Schmerzen werden als stechend beschreiben und erreichen Werte nach der VAS (0 – 10 Punkte) von 7 – 8 Punkten. | Die Schmerzintensität beträgt nach der Visuellen Analogskala (= VAS, 0 – 10 Punkte) 6-7Punkte."
139,21,20,3.4,Lokale wärme sowie Krankengymnastik könne die Schmerzen kurzzeitig lindern. | Lokale wärme sowie Krankengymnastik könne die Schmerzen kurzzeitig lindern. | Nach Angaben des Patienten lindert lokale Wärme die Schmerzen. | Unter lokaler Wärmetherapie lässt der Schmerz etwas nach. | Unter lokaler Wärmetherapie lässt der Schmerz etwas nach.
1,20,20,3.4,Zudem berichtet sie über Freud- und Interessenverlust. | Zudem berichtet sie über Freud- und Interessenverlust. | Zudem berichtet sie über Freud- und Interessenverlust. | Zudem berichtet sie über Freud- und Interessenverlust. | Zudem berichtet sie über Freud- und Interessenverlust.
167,20,20,3.4,Linderung durch Wärme sowie manuelle Therapie. | Linderung durch Wärme sowie manuelle Therapie. | Linderung durch Wärme sowie manuelle Therapie. | Linderung durch Wärme sowie manuelle Therapie. | Linderung durch Wärme sowie manuelle Therapie.
91,19,19,3.2,"Sie habe oft das Gefühl, dass sie langsam keine Kraft mehr habe. | Sie habe oft das Gefühl, dass sie langsam keine Kraft mehr habe. | Sie habe oft das Gefühl, dass sie langsam keine Kraft mehr habe. | Sie habe oft das Gefühl, dass sie langsam keine Kraft mehr habe. | Sie habe oft das Gefühl, dass sie langsam keine Kraft mehr habe."
142,19,19,3.2,"Die Patientin berichtet, sich häufig erschöpft zu fühlen und ihre Belastungsgrenze deutlich früher zu erreichen als zuvor. | Der Patient berichtet, sich häufig erschöpft zu fühlen und seine Belastungsgrenze deutlich früher zu erreichen als zuvor. | Die Patientin berichtet, sich häufig erschöpft zu fühlen und ihre Belastungsgrenze deutlich früher als zuvor zu erreichen. | Die Patientin berichtet, sich häufig erschöpft zu fühlen und ihre Belastungsgrenze deutlich früher als zuvor zu erreichen. | Die Patientin berichtet, sich häufig erschöpft zu fühlen und ihre Belastungsgrenze deutlich früher als zuvor zu erreichen."
111,19,19,3.2,Den aktuellen Zustand beschreibt sie als eine Verminderung des Antriebs und der Leistungsfähigkeit. | Den aktuellen Zustand beschreibt sie als eine Verminderung des Antriebs und der Leistungsfähigkeit. | Den aktuellen Zustand beschreibt sie als eine Verminderung des Antriebs und der Leistungsfähigkeit. | Den aktuellen Zustand beschreibt sie als eine Verminderung des Antriebs und der Leistungsfähigkeit. | Den aktuellen Zustand beschreibt sie als eine Verminderung des Antriebs und der Leistungsfähigkeit.
31,19,19,3.2,"Tinnitus sei intermittierend vorhanden. | Tinnitus sei intermittierend vorhanden. | Tinnitus sei intermittierend vorhanden. | Tinnitus sei intermittierend vorhanden. | Der Tinnitus sei beidseitig vorhanden, dauerhaft spürbar und schwanke in seiner Intensität."
176,19,19,3.2,"Hinsichtlich weiteren somatischer Beschwerden berichtet die Patientin seit Jahren unter Kopfschmerzen, die in zwei Kopfschmerzarten auftreten, zu leiden. | Hinsichtlich weiteren somatischer Beschwerden berichtet die Patientin seit über dreißig Jahren unter chronischen Kopfschmerzen, die in Form von Migräne oder Spannungskopfschmerzen auftreten, zu leiden. | Hinsichtlich weiterer somatischer Beschwerden berichtet die Patientin seit 3-4 Jahren unter Kopfschmerzen, die sich in der letzten 2 Jahren deutlich verschlechtern haben, zu leiden. | Hinsichtlich somatischer Beschwerden berichtet die Patientin seit über dreißig Jahren unter chronischen Kopfschmerzen, die in Form von Migräne oder Spannungskopfschmerzen auftreten, zu leiden. | Hinsichtlich weiterer somatischer Beschwerden berichtet der Patient, seit Jahren unter Kopfschmerzen zu leiden, die in zwei unterschiedlichen Kopfschmerzarten auftreten."
74,18,18,3.0,Es wird eine Reizdarmsyndrom vermutet. | Es wird eine Reizdarmsyndrom vermutet. | Es wird eine Reizdarmsyndrom vermutet. | Es wird eine Reizdarmsyndrom vermutet. | Es wird eine Reizdarmsyndrom vermutet.
11,18,18,3.0,"Vom Aufenthalt erhoffe sie, dass die chronischen Beschwerden auf ein erträgliches Niveau verbessert werden | Vom Aufenthalt erhoffe sie, dass die chronischen Beschwerden auf ein erträgliches Niveau verbessert werden | Vom Aufenthalt erhoffe sie, dass die chronischen Beschwerden auf ein erträgliches Niveau verbessert werden | Vom Aufenthalt erhoffe sie, dass die chronischen Beschwerden auf ein erträgliches Niveau verbessert werden | Vom Aufenthalt erhoffe sie, dass die chronischen Beschwerden auf ein erträgliches Niveau verbessert werden"
44,18,18,3.0,Vom Aufenthalt erhoffe die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdenlinderung. | Vom Aufenthalt erhoffe die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdenlinderung. | Vom Aufenthalt erhoffe die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdenlinderung. | Vom Aufenthalt erhoffe die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdenlinderung. | Vom Aufenthalt erhoffe die Patientin wieder Energie und Kraft aufbauen sowie eine Beschwerdenlinderung.
40,18,18,3.0,"Vom Aufenthalt erhoffe sich der Patient, wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich der Patient, wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich der Patient, wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich der Patient, wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung. | Vom Aufenthalt erhoffe sich der Patient, wieder Energie und Kraft aufbauen sowie eine Beschwerdelinderung."
187,22,18,3.0,"Die Schmerzen werden als ziehend beschrieben, in letzter Zeit mit Ausstrahlung entlang der Rückseite des linken Oberschenkels bis zur Kniekehle. | Im Bereich der Lendenwirbelsäule bestünden ebenfalls intermittierende, ziehende Schmerzen mit gelegentlicher Ausstrahlung in die Rückseite des rechten Oberschenkels. | Zusätzlich bestehen Schmerzen, die auf die Rückseite des linken Oberschenkels bis zur Kniekehle ausstrahlen. | Die Schmerzen seien überwiegend im Hinterkopf- sowie Stirnbereich lokalisiert und würden beidseits in die Schläfen ausstrahlen. | Schmerzen werden intermittierend vorhanden und als ziehenden empfunden mit Ausstrahlung in den Hinterkopf links."
